Date,Close,High,Low,Open,Volume
2018-07-04,15.8535,15.8924,15.7951,15.8048,6985796
2018-07-05,15.7269,15.8632,15.6977,15.8632,12476328
2018-07-06,15.7658,15.8048,15.6198,15.7951,21405968
2018-07-09,16.019,16.058,15.8827,15.9217,36155112
2018-07-10,16.058,16.1262,16.0385,16.0969,19655208
2018-07-11,15.9119,15.9509,15.834,15.9119,15596276
2018-07-12,16.0969,16.0969,15.873,15.8924,27531384
2018-07-13,16.2333,16.243,16.1262,16.1651,54647116
2018-07-16,16.1651,16.2527,16.1651,16.2235,21321728
2018-07-17,16.0775,16.1359,16.0482,16.1359,11971004
2018-07-18,16.1748,16.2625,16.1554,16.1943,52697820
2018-07-19,16.2235,16.3209,16.1748,16.1846,52870644
2018-07-20,16.4865,16.4962,16.3599,16.3599,73613480
2018-07-23,16.6043,16.6436,16.4668,16.5552,34017888
2018-07-24,16.6337,16.6337,16.5257,16.5847,20467256
2018-07-25,16.6436,16.6632,16.5061,16.5061,25408804
2018-07-26,16.6927,16.7418,16.6436,16.6436,33884680
2018-07-27,16.8301,16.84,16.7123,16.7123,23788472
2018-07-30,16.8007,16.8694,16.7712,16.8203,12921640
2018-07-31,16.8007,16.8301,16.7025,16.7614,10958652
2018-08-01,16.9185,16.9283,16.8498,16.8498,16050028
2018-08-02,16.6632,16.9185,16.6632,16.9087,19099800
2018-08-03,16.8007,16.8301,16.7614,16.7712,4900664
2018-08-06,16.8301,16.9087,16.7614,16.8007,9698684
2018-08-07,16.7909,16.8498,16.7712,16.8301,4797124
2018-08-08,16.9185,16.9676,16.8498,16.8498,16299936
2018-08-09,16.9185,16.9381,16.8301,16.9087,6527156
2018-08-10,16.8301,16.9185,16.8203,16.8301,5119668
2018-08-13,16.4865,16.7025,16.4275,16.7025,29139736
2018-08-14,16.6043,16.6141,16.5061,16.5748,8972820
2018-08-15,16.4472,16.5945,16.3883,16.5945,17118684
2018-08-16,16.457,16.5159,16.3097,16.349,18130168
2018-08-17,16.4275,16.5257,16.4177,16.4865,18560156
2018-08-20,16.4865,16.5159,16.4374,16.4766,12591984
2018-08-21,16.6043,16.6239,16.4766,16.4766,20092232
2018-08-22,16.6239,16.6632,16.565,16.6338,14183072
2018-08-23,16.7025,16.7319,16.6141,16.6534,15476944
2018-08-24,16.6534,16.7123,16.5847,16.6927,10196696
2018-08-27,16.8007,16.8007,16.6927,16.6927,20073816
